iter	Passed	Remaining
0	48	47963
1	48	24220
2	49	16312
3	49	12356
4	50	9984
5	50	8400
6	51	7272
7	51	6420
8	52	5757
9	52	5227
10	53	4795
11	53	4436
12	54	4119
13	54	3844
14	54	3608
15	55	3401
16	55	3223
17	56	3059
18	56	2912
19	56	2780
20	57	2661
21	57	2553
22	57	2454
23	58	2363
24	58	2279
25	58	2202
26	59	2130
27	59	2064
28	59	2002
29	60	1944
30	60	1890
31	60	1839
32	61	1792
33	61	1748
34	61	1705
35	62	1665
36	62	1627
37	62	1591
38	63	1557
39	63	1525
40	63	1494
41	64	1465
42	64	1437
43	64	1410
44	65	1385
45	65	1360
46	65	1336
47	66	1313
48	66	1291
49	66	1270
50	67	1250
51	67	1230
52	67	1211
53	68	1193
54	68	1176
55	68	1162
56	69	1146
57	69	1130
58	69	1115
59	70	1100
60	70	1086
61	70	1072
62	71	1059
63	71	1046
64	71	1034
65	72	1022
66	72	1010
67	72	997
68	73	986
69	73	975
70	73	965
71	74	954
72	74	945
73	74	935
74	75	927
75	75	918
76	75	909
77	76	900
78	76	892
79	76	884
80	77	875
81	77	867
82	77	859
83	78	852
84	78	843
85	78	836
86	78	828
87	79	821
88	79	814
89	79	808
90	80	801
91	80	795
92	80	789
93	81	783
94	81	777
95	81	771
96	82	765
97	82	759
98	82	754
99	83	749
100	83	743
101	83	737
102	84	732
103	84	727
104	84	722
105	85	717
106	85	712
107	85	707
108	86	703
109	86	698
110	86	693
111	86	689
112	87	685
113	87	681
114	87	677
115	88	672
116	88	668
117	88	664
118	89	659
119	89	655
120	89	652
121	90	648
122	90	643
123	90	639
124	90	636
125	91	632
126	91	629
127	91	625
128	92	621
129	92	618
130	92	615
131	93	612
132	93	608
133	93	605
134	94	602
135	94	599
136	94	596
137	94	592
138	95	590
139	95	587
140	95	584
141	96	581
142	96	578
143	96	575
144	97	572
145	97	569
146	97	567
147	98	564
148	98	561
149	98	558
150	98	556
151	99	553
152	99	551
153	99	548
154	100	546
155	100	543
156	100	541
157	101	539
158	101	536
159	101	534
160	102	532
161	102	529
162	102	527
163	103	525
164	103	523
165	103	520
166	103	518
167	104	516
168	104	514
169	104	512
170	105	510
171	105	508
172	105	506
173	106	504
174	106	502
175	106	500
176	107	498
177	107	496
178	107	494
179	108	492
180	108	490
181	108	488
182	109	486
183	109	484
184	109	483
185	109	481
186	110	479
187	110	477
188	110	475
189	111	474
190	111	472
191	111	470
192	112	469
193	112	467
194	112	465
195	113	464
196	113	462
197	113	461
198	114	459
199	114	457
200	114	456
201	115	454
202	115	453
203	115	451
204	116	450
205	116	448
206	116	447
207	117	445
208	117	444
209	117	442
210	117	441
211	118	439
212	118	438
213	118	436
214	119	435
215	119	434
216	119	432
217	120	431
218	120	430
219	120	428
220	121	427
221	121	426
222	121	424
223	122	423
224	122	422
225	122	420
226	123	419
227	123	418
228	123	416
229	124	415
230	124	414
231	124	413
232	125	411
233	125	410
234	125	409
235	126	408
236	126	407
237	126	405
238	127	404
239	127	403
240	127	402
241	128	401
242	128	399
243	128	398
244	129	397
245	129	396
246	129	395
247	130	394
248	130	393
249	130	392
250	130	390
251	131	389
252	131	388
253	131	387
254	132	386
255	132	385
256	132	384
257	133	383
258	133	382
259	133	381
260	134	379
261	134	378
262	134	377
263	135	376
264	135	375
265	135	374
266	136	373
267	136	372
268	136	371
269	137	370
270	137	369
271	137	368
272	137	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	140	357
283	141	356
284	141	355
285	141	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	143	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	146	340
300	146	339
301	146	339
302	147	338
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	149	331
310	149	331
311	149	330
312	150	329
313	150	328
314	150	327
315	150	326
316	151	326
317	151	325
318	151	324
319	152	323
320	152	322
321	152	322
322	153	321
323	153	320
324	153	319
325	154	318
326	154	317
327	154	316
328	155	316
329	155	315
330	155	314
331	155	313
332	156	312
333	156	312
334	156	311
335	157	310
336	157	309
337	157	308
338	158	308
339	158	307
340	158	306
341	158	305
342	159	305
343	159	304
344	159	303
345	160	302
346	160	301
347	160	301
348	161	300
349	161	299
350	161	298
351	161	298
352	162	297
353	162	296
354	162	295
355	163	295
356	163	294
357	163	293
358	164	292
359	164	292
360	164	291
361	164	290
362	165	290
363	165	289
364	165	288
365	166	287
366	166	287
367	166	286
368	167	285
369	167	284
370	167	284
371	167	283
372	168	282
373	168	282
374	168	281
375	169	280
376	169	280
377	169	279
378	170	278
379	170	278
380	170	277
381	171	276
382	171	276
383	171	275
384	171	274
385	172	274
386	172	273
387	172	272
388	173	272
389	173	271
390	173	270
391	174	270
392	174	269
393	174	268
394	175	268
395	175	267
396	175	266
397	175	266
398	176	265
399	176	264
400	176	264
401	177	263
402	177	262
403	177	262
404	178	261
405	178	260
406	178	260
407	178	259
408	179	259
409	179	258
410	179	257
411	180	257
412	180	256
413	180	255
414	181	255
415	181	254
416	181	254
417	181	253
418	182	252
419	182	252
420	182	251
421	183	250
422	183	250
423	183	249
424	184	249
425	184	248
426	184	247
427	185	247
428	185	246
429	185	246
430	186	245
431	186	245
432	186	244
433	187	243
434	187	243
435	187	242
436	187	242
437	188	241
438	188	241
439	188	240
440	189	239
441	189	239
442	189	238
443	190	238
444	190	237
