iter	Passed	Remaining
0	0	411
1	0	389
2	1	378
3	1	376
4	1	379
5	2	372
6	2	370
7	2	365
8	3	360
9	3	359
10	3	356
11	4	354
12	4	350
13	4	348
14	5	346
15	5	344
16	5	343
17	6	340
18	6	338
19	6	338
20	7	337
21	7	336
22	7	334
23	8	335
24	8	334
25	8	333
26	9	332
27	9	331
28	9	329
29	10	329
30	10	328
31	10	327
32	11	327
33	11	325
34	11	325
35	12	324
36	12	323
37	12	323
38	13	322
39	13	323
40	13	324
41	14	325
42	14	326
43	15	327
44	15	328
45	15	329
46	16	330
47	16	330
48	17	330
49	17	329
50	17	329
51	18	329
52	18	329
53	18	329
54	19	329
55	19	329
56	19	329
57	20	333
58	20	334
59	21	333
60	21	333
61	22	333
62	22	332
63	22	331
64	23	331
65	23	331
66	23	330
67	24	330
68	24	329
69	24	329
70	25	328
71	25	328
72	25	327
73	26	327
74	26	327
75	26	327
76	27	326
77	27	326
78	27	325
79	28	325
80	28	325
81	28	324
82	29	322
83	29	322
84	29	321
85	30	321
86	30	320
87	30	320
88	31	320
89	31	319
90	31	319
91	32	319
92	32	319
93	33	319
94	33	319
95	33	319
96	34	319
97	34	319
98	35	318
99	35	318
100	35	318
101	36	318
102	36	318
103	36	317
104	37	317
105	37	316
106	37	316
107	38	316
108	38	315
109	38	315
110	39	315
111	39	315
112	40	316
113	40	316
114	41	315
115	41	315
116	41	314
117	42	313
118	42	313
119	42	313
120	43	312
121	43	311
122	43	311
123	44	311
124	44	311
125	44	311
126	45	310
127	45	311
128	46	312
129	46	313
130	47	312
131	47	312
132	47	311
133	48	311
134	48	310
135	48	310
136	49	309
137	49	308
138	49	308
139	50	308
140	50	307
141	50	306
142	51	306
143	51	306
144	51	306
145	52	307
146	52	306
147	53	306
148	53	306
149	53	305
150	54	305
151	54	304
152	54	304
153	55	304
154	55	303
155	56	303
156	56	302
157	56	302
158	57	301
159	57	301
160	57	300
161	58	300
162	58	299
163	58	299
164	59	299
165	59	299
166	59	298
167	60	298
168	60	297
169	60	297
170	61	296
171	61	296
172	61	296
173	62	295
174	62	295
175	62	294
176	63	294
177	63	294
178	64	293
179	64	293
180	64	292
181	65	292
182	65	291
183	65	291
184	66	291
185	66	291
186	66	290
187	67	290
188	67	289
189	67	289
190	68	288
191	68	288
192	68	287
193	69	287
194	69	286
195	69	286
196	70	286
197	70	285
198	70	285
199	71	284
200	71	283
201	71	283
202	72	283
203	72	282
204	73	283
205	73	283
206	73	282
207	74	282
208	74	281
209	74	280
210	75	280
211	75	280
212	75	280
213	76	280
214	76	279
215	76	279
216	77	279
217	77	278
218	78	278
219	78	278
220	78	277
221	79	277
222	79	276
223	79	276
224	80	276
225	80	275
226	80	275
227	81	274
228	81	274
229	81	273
230	82	273
231	82	272
232	82	272
233	83	271
234	83	271
235	83	271
236	84	271
237	84	270
238	84	270
239	85	270
240	85	269
241	85	269
242	86	268
243	86	268
244	86	267
245	87	267
246	87	266
247	87	266
248	88	265
249	88	265
250	88	265
251	89	264
252	89	264
253	90	264
254	90	263
255	90	263
256	91	263
257	91	262
258	91	262
259	92	262
260	92	261
261	92	261
262	93	260
263	93	260
264	93	260
265	94	259
266	94	259
267	94	258
268	95	258
269	95	258
270	96	258
271	96	257
272	96	257
273	97	257
274	97	256
275	97	256
276	98	256
277	98	256
278	99	256
279	99	255
280	99	255
281	100	255
282	100	254
283	100	254
284	101	254
285	101	253
286	101	253
287	102	253
288	102	252
289	103	252
290	103	252
291	103	251
292	104	251
293	104	251
294	104	250
295	105	250
296	105	249
297	105	249
298	106	248
299	106	248
300	106	247
301	108	249
302	108	249
303	108	249
304	109	248
305	109	248
306	109	248
307	110	248
308	110	247
309	111	247
310	111	247
311	111	246
312	112	246
313	112	246
314	113	245
315	113	245
316	113	245
317	114	244
318	114	244
319	114	244
320	115	243
321	115	243
322	115	242
323	116	242
324	116	242
325	116	241
326	117	241
327	117	240
328	117	240
329	118	239
330	118	239
331	118	239
332	119	238
333	119	238
334	119	237
335	120	237
336	120	237
337	120	236
338	121	237
339	122	237
340	122	237
341	123	236
342	123	236
343	123	236
344	124	235
345	124	235
346	124	235
347	125	234
348	125	234
349	126	234
350	126	233
351	126	233
352	127	233
353	127	232
354	127	232
355	128	232
356	128	231
357	128	231
358	129	230
359	129	230
360	129	230
361	130	229
362	130	229
363	131	228
364	131	228
365	131	228
366	132	227
367	132	227
368	132	226
369	133	226
370	133	226
371	133	225
372	134	225
373	134	225
374	134	224
375	135	224
376	135	223
377	135	223
378	136	223
379	136	223
380	137	222
381	137	222
382	137	222
383	138	221
384	138	221
385	138	221
386	139	220
387	139	220
388	140	220
389	140	219
390	140	219
391	141	219
392	141	218
393	142	218
394	142	218
395	142	217
396	143	217
397	143	217
398	143	216
399	144	216
400	144	216
401	144	215
402	145	215
403	145	214
404	145	214
405	146	214
406	146	213
407	146	213
408	147	212
409	147	212
410	147	212
411	148	211
412	148	211
413	148	210
414	149	210
415	149	209
416	149	209
417	150	208
418	150	208
419	150	208
420	150	207
421	151	207
422	151	206
423	151	206
424	152	206
425	152	205
426	152	205
427	153	205
428	154	205
429	154	205
430	155	204
431	155	204
432	155	203
433	156	203
434	156	203
435	156	202
436	157	202
437	157	202
438	157	201
439	158	201
440	158	200
441	158	200
442	159	200
443	159	199
444	160	199
445	160	199
446	160	198
447	161	198
448	161	198
449	161	197
450	162	197
451	162	196
452	162	196
453	163	196
454	163	195
455	163	195
456	163	194
457	164	194
458	164	194
459	164	193
460	165	193
461	165	192
462	165	192
463	166	192
464	166	191
465	167	191
466	167	191
467	167	190
468	168	190
469	168	189
470	168	189
471	169	189
472	169	188
473	169	188
474	170	188
475	170	187
476	170	187
477	171	186
478	171	186
479	171	186
480	172	185
481	172	185
482	173	185
483	173	184
484	173	184
485	174	184
486	174	183
487	174	183
488	174	182
489	175	182
490	175	182
491	175	181
492	176	181
493	176	180
494	176	180
495	177	180
496	177	179
497	177	179
498	178	179
499	178	178
500	178	178
501	179	177
502	179	177
503	179	177
504	180	176
505	180	176
506	180	175
507	181	175
508	181	175
509	182	174
510	182	174
511	182	174
512	183	173
513	183	173
514	183	173
515	184	172
516	184	172
517	184	172
518	185	171
519	185	171
520	186	171
521	186	170
522	186	170
523	187	169
524	187	169
525	187	169
526	188	168
527	188	168
528	188	168
529	189	167
530	189	167
531	189	166
532	190	166
533	190	166
534	190	165
535	191	165
536	191	165
537	191	164
538	192	164
539	192	163
540	192	163
541	193	163
542	193	162
543	193	162
544	194	162
545	194	161
546	194	161
547	195	160
548	195	160
549	195	160
550	196	159
551	196	159
552	197	159
553	198	159
554	198	159
555	199	159
556	200	159
557	200	158
558	200	158
559	201	157
560	201	157
561	201	157
562	202	156
563	202	156
564	202	156
565	203	155
566	203	155
567	203	154
568	204	154
569	204	154
570	204	153
571	205	153
572	205	153
573	205	152
574	206	152
575	206	151
576	206	151
577	206	151
578	207	150
579	207	150
580	207	149
581	208	149
582	208	149
583	208	148
584	209	148
585	209	147
586	209	147
587	210	147
588	210	146
589	210	146
590	211	146
591	211	145
592	211	145
593	212	144
594	212	144
595	212	144
596	213	143
597	213	143
598	213	143
599	214	142
600	214	142
601	214	142
602	215	141
603	215	141
604	216	141
605	216	140
606	217	140
607	217	140
608	217	139
609	217	139
610	218	139
611	218	138
612	219	138
613	219	138
614	219	137
615	220	137
616	220	136
617	220	136
618	221	136
619	221	135
620	221	135
621	222	134
622	222	134
623	222	134
624	223	133
625	223	133
626	223	133
627	224	132
628	224	132
629	224	131
630	224	131
631	225	131
632	225	130
633	225	130
634	226	130
635	226	129
636	226	129
637	227	128
638	227	128
639	227	128
640	228	127
641	228	127
642	229	127
643	229	126
644	229	126
645	230	126
646	230	125
647	231	125
648	231	125
649	231	124
650	232	124
651	232	124
